,name,type
0,box_Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_Kit_Jet_Black_M60_M,box
1,pan_frl_apartment_pan_01_M,pan
2,energy_bar_Nestle_Candy_19_oz_Butterfinger_Singles_116567_M,energy
3,canister_Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister_M,canister
4,pill_bottle_Germanium_GE132_M,pill
5,box_003_cracker_box_M,box
6,squeezer_Focus_8643_Lime_Squeezer_10x35x188_Enamelled_Aluminum_Light_M,squeezer
7,cup_Ecoforms_Cup_B4_SAN_M,cup
8,cup_frl_apartment_cup_05_M,cup
9,cup_frl_apartment_kitchen_utensil_06_M,cup
10,plant_container_Sapota_Threshold_4_Ceramic_Round_Planter_Red_M,plant
11,donut_donut_M,donut
12,clamp_Pony_C_Clamp_1440_M,clamp
13,dog_bowl_Top_Paw_Dog_Bow_Bone_Ceramic_13_fl_oz_total_M,dog
14,pill_bottle_Pet_Dophilus_powder_M,pill
15,dog_bowl_Top_Paw_Dog_Bowl_Blue_Paw_Bone_Ceramic_25_fl_oz_total_M,dog
16,mug_kitchen_set_kitchen_set_mug_M,mug
17,salt_shaker_frl_apartment_kitchen_utensil_03_M,salt
18,lunch_bag_US_Army_Stash_Lunch_Bag_M,lunch
19,tape_3M_Antislip_Surfacing_Light_Duty_White_M,tape
20,clamp_050_medium_clamp_M,clamp
21,book_Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book_M,book
22,clock_Crosley_Alarm_Clock_Vintage_Metal_M,clock
23,hammer_048_hammer_M,hammer
24,pitcher_Threshold_Porcelain_Pitcher_White_M,pitcher
25,dvd_Justified_The_Complete_Fourth_Season_3_Discs_DVD_M,dvd
26,dog_bowl_Grreat_Choice_Dog_Double_Dish_Plastic_Blue_M,dog
27,hand_bell_Cole_Hardware_School_Bell_Solid_Brass_38_M,hand
28,tray_Threshold_Tray_Rectangle_Porcelain_M,tray
29,cup_065-a_cups_M,cup
30,sponge_Big_O_Sponges_Assorted_Cellulose_12_pack_M,sponge
31,soap_dish_Threshold_Bamboo_Ceramic_Soap_Dish_M,soap
32,spatula_OXO_Cookie_Spatula_M,spatula
33,bowl_Threshold_Porcelain_Serving_Bowl_Coupe_White_M,bowl
34,mouse_Razer_Abyssus_Ambidextrous_Gaming_Mouse_M,mouse
35,bowl_frl_apartment_bowl_01_M,bowl
36,spatula_033_spatula_M,spatula
37,hair_straightener_Remington_1_12_inch_Hair_Straightener_M,hair
38,mug_Room_Essentials_Mug_White_Yellow_M,mug
39,lego_block_073-b_lego_duplo_M,lego
40,mug_Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White_M,mug
41,tape_Cole_Hardware_Antislip_Surfacing_White_2_x_60_M,tape
42,dish_Corningware_CW_by_Corningware_3qt_Oblong_Casserole_Dish_Blue_M,dish
